Date,Chemicals,Coal,Coke,Crushed_Stone_ Sand__Gravel,Iron and Steel Scrap1,Lumber__Wood,Metallic Ores,Motor_Vehicles__Parts,Nonmetallic Minerals,Petroleum Products,Primary Forest Products,Primary Metal Products,Pulp__Paper,Waste__Nonferrous_Scrap,Stone_Clay__Glass_Products,Tankcar_lease_rate,QTR1,QTR2 ,QTR3,QTR4
4/1/2009,24632.5,136088.5,2864.75,14548,2990,2368.75,2439.75,10833,4403.25,5577,1301.25,5868.5,5550.5,3183.25,6170,738,0,1,0,0
7/1/2009,25657.5,125106.25,2490.25,15253.25,3425.75,2453.25,3102,8952.5,4714,6080,1600.25,5412.5,5854.75,3365.5,7031,678,0,0,1,0
10/1/2009,27278.8,129031.4,2756.4,14535.2,4459.4,2253.2,4397.4,13332.2,5340.4,5700.6,1605.8,7258.4,5727.2,3864.6,6646.6,704.5,0,0,0,1
1/1/2010,25877.6,115334.8,2900.2,9443,3084.4,1906.2,4254.6,11819.4,4281.6,5467.8,1482.2,7273.8,5567.6,3100.2,4796.4,794,1,0,0,0
4/1/2010,28721.4,134695.8,3499.4,15048.2,4579,2738.4,3484.8,12631.8,4808.2,5784,1717,9468.4,5214.6,3530,6717.6,819.5,0,1,0,0
7/1/2010,28445.6,125666.4,3578,17756.4,4189,2509.8,7155.8,12440.6,5307.4,6617.6,1605.6,9800,5877.2,3873,7333,812.5,0,0,1,0
10/1/2010,29230.2,135075.2,3437,16905.2,4399.4,2429.8,7793.2,13307.6,5131.2,6432.8,1593,9215.8,6154.2,3826.6,7264.4,828.5,0,0,0,1
1/1/2011,28785,124590.4,3229.2,11814.6,3906.2,2297.6,6804.6,11424,3719.4,6511.8,1488,9079.4,6154,2812.4,5604.2,748,1,0,0,0
4/1/2011,31631.6,134928.6,3264.8,16113.2,4771.2,2972.8,5080.6,14870.2,4780,6622.2,1452,10354.6,6057.8,3114.8,6970.2,699,0,1,0,0
7/1/2011,29540.2,121766.4,3700,17834,4495.2,2802.8,8528.8,12819.8,5324.6,6838.8,1490,10821.4,6138.6,3336.2,7604.8,745.5,0,0,1,0
10/1/2011,29271,136118,3262,17695.75,4748.5,2789.5,8695,14663.75,5025.25,7443.25,1515.75,10486.25,6147.5,3395.25,7771.25,777.5,0,0,0,1
1/1/2012,28559,128651.25,3338,14281,3927.25,2567.75,7928.75,13061.75,4366,7809.75,1490.25,10568.5,6222.25,3010.5,6042,806,1,0,0,0
4/1/2012,30464.75,112994.5,3399.75,16792.5,5083,3218.25,5487.25,16988,4343,8888.25,1390.25,11282.5,6054,3074,7353.5,839.5,0,1,0,0
7/1/2012,29288.25,114607.25,3530.75,18611.75,4290,3256,8066.25,16476,5066.5,10495.75,1563,10583.25,6037.25,3212.25,7992,824.5,0,0,1,0
10/1/2012,29261.25,119641.25,3376.25,18944.25,4579,3045.5,6812.25,15448.25,5027,11580.75,1491,10538,5893.25,2947.5,7724.25,816.5,0,0,0,1
1/1/2013,28924,111594.25,3814.5,14767.25,4205,2985.25,8003.5,14890.75,3901.75,12316.5,1457.5,9730,6005.75,2908.5,6510.25,891,1,0,0,0
4/1/2013,30050,110855.5,3786.25,18091.25,4703.75,3571.25,4760.25,18049.75,4302.5,13726.75,1595,10635.25,5900,2944,7270.25,944,0,1,0,0
7/1/2013,29668,111431.75,3816.5,20907.75,3928.5,3277,7815,17030.75,5559.5,13824.75,1498.5,10368.75,6241,3513,8115,976.5,0,0,1,0
10/1/2013,29168,116350,3809,21625.25,4110.75,3343.75,7674,17317.25,5428.75,12787.75,1581,10510,6113.75,3671,8318.25,929,0,0,0,1
1/1/2014,29220,105633,3627.75,15192.25,3748.75,2967.75,6923.75,15544.25,4198.75,14422,1519.25,9610,6003.75,3042.5,6401.5,996.5,1,0,0,0
4/1/2014,30515,113339.75,3706.25,19563.5,4056.5,3606.25,4424,17956.75,4733.75,14853,1565,10407.5,5993.75,2923,7704.75,1163,0,1,0,0
7/1/2014,29925.25,110165.25,3817,23787.75,4388.75,3728,8340,18084.75,5386.75,15018.75,1673.25,11053.5,6306.25,3557.5,8528,1248.5,0,0,1,0
10/1/2014,29434.5,114301.25,4090,24478.25,4321.5,3522.75,7697.75,17093.25,5324.75,16382.5,1697.75,11242,6227,3471.75,8808.5,1182.5,0,0,0,1
1/1/2015,29469.8,113191.4,3944.2,19431.4,3456,3087.2,8731.4,15258.2,4199.2,15826.6,1468.8,10273.8,6331,3114,6956,1104,1,0,0,0
4/1/2015,30387.25,105489.75,3511.25,20167.5,3139,3628,5268.25,17920.75,4411,13814,1449.25,8728.25,5539,3046.25,6923.75,1247,0,1,0,0
7/1/2015,29814,90900.25,4100.75,22859,4021,3562,7679.5,18938.25,4997.5,13932.75,1549,9511.75,6002.75,3628.25,8153.75,1174,0,0,1,0
10/1/2015,30190.4,103760.6,3926.6,23205.4,3316,3388.4,5565,18185.6,4733.8,13767.4,1534.8,9128.8,6216.8,3247,8258.2,1017.5,0,0,0,1
1/1/2016,29663.2,81615,3713.6,17530.4,2536.2,2770,5314,16060.2,3904.4,12575,1253.8,8089.2,5968.6,3224.2,6426,1050,1,0,0,0
4/1/2016,32086.6,67238.6,4047.4,19838,3269.8,3425.6,3923.8,18854.6,4349.2,10777.2,1352.2,8721.2,5486.8,3660,7188.2,917,0,1,0,0
7/1/2016,29607.6,74779.2,4279.6,20712.6,3679.8,3280.2,6359,18208.6,4387.2,10804.6,1274,8883.4,5726.8,4117.6,8048.2,754,0,0,1,0
